2024-04-21 18:10:15,088 INFO    Thread-88 (_run_job):11368 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-04-21 18:10:15,089 INFO    Thread-88 (_run_job):11368 [wandb_setup.py:_flush():76] Configure stats pid to 11368
2024-04-21 18:10:15,089 INFO    Thread-88 (_run_job):11368 [wandb_setup.py:_flush():76] Loading settings from C:\Users\alexs\.config\wandb\settings
2024-04-21 18:10:15,089 INFO    Thread-88 (_run_job):11368 [wandb_setup.py:_flush():76] Loading settings from D:\Faculty materials\BACHELORS-THESIS\TSR-CNN1\wandb\settings
2024-04-21 18:10:15,089 INFO    Thread-88 (_run_job):11368 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'TSRNet1', 'entity': 'viorel-alexandraa', 'root_dir': 'D:\\Faculty materials\\BACHELORS-THESIS\\TSR-CNN1', 'run_id': 'dcwo4vwj', 'sweep_param_path': 'D:\\Faculty materials\\BACHELORS-THESIS\\TSR-CNN1\\wandb\\sweep-nk9siz1w\\config-dcwo4vwj.yaml', 'sweep_id': 'nk9siz1w'}
2024-04-21 18:10:15,089 INFO    Thread-88 (_run_job):11368 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-21 18:10:15,089 INFO    Thread-88 (_run_job):11368 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'TSR-CNN1\\train.py', 'program_abspath': 'D:\\Faculty materials\\BACHELORS-THESIS\\TSR-CNN1\\train.py', 'program': 'D:\\Faculty materials\\BACHELORS-THESIS\\TSR-CNN1\\train.py'}
2024-04-21 18:10:15,089 INFO    Thread-88 (_run_job):11368 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-21 18:10:15,089 INFO    Thread-88 (_run_job):11368 [wandb_init.py:_log_setup():527] Logging user logs to D:\Faculty materials\BACHELORS-THESIS\TSR-CNN1\wandb\run-20240421_181015-dcwo4vwj\logs\debug.log
2024-04-21 18:10:15,089 INFO    Thread-88 (_run_job):11368 [wandb_init.py:_log_setup():528] Logging internal logs to D:\Faculty materials\BACHELORS-THESIS\TSR-CNN1\wandb\run-20240421_181015-dcwo4vwj\logs\debug-internal.log
2024-04-21 18:10:15,090 INFO    Thread-88 (_run_job):11368 [wandb_init.py:init():567] calling init triggers
2024-04-21 18:10:15,090 INFO    Thread-88 (_run_job):11368 [wandb_init.py:init():574] wandb.init called with sweep_config: {'batch_size': 64, 'drop': 0.4, 'epochs': 100, 'f1': 24, 'f2': 32, 'f3': 48, 'fc_layer_size': 512, 'learning_rate': 0.01}
config: {}
2024-04-21 18:10:15,090 INFO    Thread-88 (_run_job):11368 [wandb_init.py:init():617] starting backend
2024-04-21 18:10:15,090 INFO    Thread-88 (_run_job):11368 [wandb_init.py:init():621] setting up manager
2024-04-21 18:10:15,097 INFO    Thread-88 (_run_job):11368 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-04-21 18:10:15,098 INFO    Thread-88 (_run_job):11368 [wandb_init.py:init():629] backend started and connected
2024-04-21 18:10:15,113 INFO    Thread-88 (_run_job):11368 [wandb_run.py:_config_callback():1347] config_cb None None {'batch_size': 64, 'drop': 0.4, 'epochs': 100, 'f1': 24, 'f2': 32, 'f3': 48, 'fc_layer_size': 512, 'learning_rate': 0.01}
2024-04-21 18:10:15,121 INFO    Thread-88 (_run_job):11368 [wandb_init.py:init():721] updated telemetry
2024-04-21 18:10:16,441 INFO    Thread-88 (_run_job):11368 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-04-21 18:10:16,879 INFO    Thread-88 (_run_job):11368 [wandb_run.py:_on_init():2344] communicating current version
2024-04-21 18:10:17,062 INFO    Thread-88 (_run_job):11368 [wandb_run.py:_on_init():2353] got version response upgrade_message: "wandb version 0.16.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-04-21 18:10:17,062 INFO    Thread-88 (_run_job):11368 [wandb_init.py:init():805] starting run threads in backend
2024-04-21 18:10:18,308 INFO    Thread-88 (_run_job):11368 [wandb_run.py:_console_start():2323] atexit reg
2024-04-21 18:10:18,308 INFO    Thread-88 (_run_job):11368 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-04-21 18:10:18,309 INFO    Thread-88 (_run_job):11368 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-04-21 18:10:18,309 INFO    Thread-88 (_run_job):11368 [wandb_run.py:_redirect():2268] Redirects installed.
2024-04-21 18:10:18,309 INFO    Thread-88 (_run_job):11368 [wandb_init.py:init():848] run started, returning control to user process
