                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0523,                 4.3046,                  1.331,                 0.0025,                0.39635,                0.10209,                0.04258,                 1.9666,                 4.5803,                 1.2569,             0.00040833,             0.00040833,             0.00040833
                      2,                 1.8152,                 2.8859,                 1.2527,                0.68949,                0.46943,                0.57176,                0.24025,                  1.932,                 3.0572,                 1.3096,             0.00078416,             0.00078416,             0.00078416
                      3,                 1.8081,                 2.3974,                 1.2411,                0.66611,                0.53946,                0.59191,                0.23556,                 1.9198,                 2.4392,                 1.2971,              0.0011187,              0.0011187,              0.0011187
                      4,                 1.8129,                 2.2464,                 1.2691,                0.75352,                 0.6344,                0.68526,                0.28798,                 2.0025,                 2.1478,                 1.3511,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.7544,                 1.9026,                 1.2305,                0.78125,                0.62456,                0.69266,                0.25819,                 2.1564,                 2.0509,                 1.4021,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.7557,                 1.7228,                 1.2319,                0.79454,                0.63367,                0.67262,                0.26484,                 2.0984,                 1.8531,                 1.3953,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.7291,                 1.6243,                 1.2065,                0.83344,                0.68792,                0.76508,                0.36613,                 1.7785,                 1.6051,                  1.239,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.6709,                 1.5424,                 1.1935,                0.78863,                0.68196,                0.74968,                0.33849,                 1.8616,                 1.5438,                 1.2775,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.6811,                 1.4444,                 1.1981,                0.81971,                0.69762,                0.77325,                0.34167,                 1.8926,                 1.4809,                 1.2666,               0.000755,               0.000755,               0.000755
                     10,                 1.6164,                 1.3324,                  1.175,                0.81071,                0.67149,                0.74473,                0.29086,                 2.0871,                 1.4274,                  1.354,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.6026,                 1.2993,                 1.2199,                0.82525,                0.73512,                0.81166,                0.38477,                  1.764,                 1.3161,                  1.219,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.6028,                 1.2236,                 1.2204,                0.83071,                0.71834,                0.80685,                0.37737,                 1.7754,                 1.2306,                 1.2261,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.5731,                 1.1321,                  1.218,                0.90111,                0.69476,                0.81344,                0.39166,                 1.7883,                 1.2027,                 1.2301,              0.0005075,              0.0005075,              0.0005075
                     14,                 1.5294,                 1.0947,                 1.1832,                0.86779,                0.75681,                 0.8254,                0.40187,                 1.7811,                 1.1077,                 1.2316,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.5319,                 1.0512,                   1.19,                0.86514,                0.71659,                0.83148,                0.41371,                 1.6844,                 1.1625,                 1.1891,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.4784,                0.98953,                 1.1609,                0.85477,                0.77068,                0.82279,                0.37722,                 1.8318,                 1.1315,                 1.2443,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.4706,                0.96058,                 1.1517,                0.88094,                0.79714,                0.86079,                0.41358,                 1.7002,                 1.0532,                 1.2056,                0.00026,                0.00026,                0.00026
                     18,                 1.4344,                0.90912,                 1.1463,                0.87196,                0.76468,                0.81874,                0.37044,                 1.8678,                 1.0614,                 1.2632,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.4247,                0.89835,                 1.1363,                0.87006,                0.76161,                 0.8244,                0.39372,                 1.7882,                 1.0443,                  1.231,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.3915,                0.86086,                 1.1243,                0.89976,                 0.7605,                0.83723,                0.42042,                 1.7314,                 1.0283,                 1.2067,             7.4375e-05,             7.4375e-05,             7.4375e-05
