                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1802,                 4.9574,                 1.4254,                  0.002,                0.27143,                0.14616,                0.06626,                 1.6731,                 4.2588,                 1.1631,                 0.0706,              0.0032667,              0.0032667
                      2,                  1.882,                 3.0011,                 1.3202,                0.85033,                0.14079,                0.30985,                0.11747,                  2.068,                 3.1445,                 1.3542,               0.040535,              0.0065347,              0.0065347
                      3,                 1.8426,                  2.568,                 1.3194,                 0.6574,                0.43764,                0.49852,                0.22399,                 1.8945,                 2.2946,                 1.3028,               0.010403,              0.0097367,              0.0097367
                      4,                 1.8844,                 2.4471,                 1.3142,                0.62199,                0.54296,                0.56007,                0.24688,                  1.868,                 2.4805,                  1.322,               0.009703,               0.009703,               0.009703
                      5,                 1.8394,                 2.1914,                 1.2867,                0.55931,                0.48852,                 0.5089,                0.21872,                 2.0321,                 2.6255,                 1.3652,               0.009604,               0.009604,               0.009604
                      6,                  1.834,                 2.0562,                 1.3131,                0.60856,                0.48374,                0.48801,                0.19954,                 2.0375,                 1.9612,                 1.3917,               0.009505,               0.009505,               0.009505
                      7,                 1.7801,                 1.8813,                 1.2969,                0.76253,                0.57962,                0.67998,                0.29324,                 1.9136,                 1.5297,                 1.3107,               0.009406,               0.009406,               0.009406
                      8,                 1.7794,                 1.7707,                 1.2938,                0.62226,                0.52278,                0.57984,                0.24414,                 2.0461,                 2.0063,                 1.3857,               0.009307,               0.009307,               0.009307
                      9,                 1.7331,                 1.7081,                 1.2441,                0.70218,                0.63213,                0.66462,                0.29328,                 1.9216,                 1.4883,                 1.3009,               0.009208,               0.009208,               0.009208
                     10,                 1.7379,                 1.5649,                 1.2423,                0.84205,                0.60699,                0.68678,                0.28848,                 1.9747,                 1.4312,                 1.3086,               0.009109,               0.009109,               0.009109
                     11,                 1.7405,                 1.5296,                 1.2611,                0.67692,                0.55689,                  0.598,                0.24031,                 2.1231,                 1.6364,                 1.3997,                0.00901,                0.00901,                0.00901
                     12,                 1.7332,                 1.4192,                  1.249,                0.77954,                0.61132,                0.70942,                0.32206,                 1.8554,                 1.3845,                 1.2705,               0.008911,               0.008911,               0.008911
                     13,                  1.682,                 1.3737,                 1.2405,                0.72447,                0.67373,                 0.7094,                0.31176,                 1.9301,                 1.3138,                 1.3112,               0.008812,               0.008812,               0.008812
                     14,                 1.7177,                 1.3333,                 1.2579,                0.76754,                0.68375,                0.74861,                0.33506,                 1.8484,                 1.3525,                 1.2583,               0.008713,               0.008713,               0.008713
                     15,                 1.6705,                 1.3543,                 1.2101,                0.87064,                0.65044,                0.77003,                 0.3773,                 1.7327,                 1.3066,                 1.2353,               0.008614,               0.008614,               0.008614
                     16,                 1.6777,                  1.265,                  1.226,                0.70114,                0.68807,                0.74082,                 0.3375,                 1.8736,                 1.2467,                 1.2648,               0.008515,               0.008515,               0.008515
                     17,                 1.6169,                  1.227,                 1.1981,                0.74704,                0.67019,                 0.7021,                0.26568,                 2.1932,                  1.317,                 1.4467,               0.008416,               0.008416,               0.008416
