                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.106,                 4.7107,                 1.3907,                0.00205,                0.24262,                0.13784,                 0.0511,                  1.712,                 4.5209,                 1.1881,                 0.0706,              0.0032667,              0.0032667
                      2,                  1.836,                 3.0186,                 1.2992,                0.92437,                0.11836,                0.34082,                0.15561,                 1.8422,                 3.5176,                 1.2675,               0.040469,              0.0064693,              0.0064693
                      3,                 1.8743,                 2.6063,                 1.2877,                0.52683,                0.35205,                0.38197,                0.17306,                 1.8325,                 3.0594,                 1.2196,               0.010207,                0.00954,                0.00954
                      4,                 1.8584,                 2.4696,                   1.29,                0.59023,                0.48311,                0.52543,                  0.215,                 2.0625,                 2.6716,                 1.4516,               0.009406,               0.009406,               0.009406
                      5,                 1.8576,                 2.1853,                 1.2894,                0.60801,                0.46308,                0.46975,                0.14816,                 2.4395,                 3.0601,                 1.6449,               0.009208,               0.009208,               0.009208
                      6,                 1.8564,                 2.0433,                 1.2773,                0.60875,                0.49182,                0.52475,                0.22222,                 2.0163,                 2.4309,                  1.364,                0.00901,                0.00901,                0.00901
                      7,                 1.7965,                 1.8979,                 1.2446,                0.75758,                0.62257,                0.66064,                0.29293,                 1.8938,                 1.7946,                 1.3165,               0.008812,               0.008812,               0.008812
                      8,                 1.7778,                 1.7844,                 1.2505,                0.70295,                0.57677,                0.61854,                0.23938,                 2.1071,                 2.0208,                 1.4314,               0.008614,               0.008614,               0.008614
                      9,                 1.7655,                 1.7261,                 1.2331,                0.66271,                0.62491,                0.66339,                0.29064,                 1.8879,                 1.8538,                 1.2936,               0.008416,               0.008416,               0.008416
                     10,                 1.7095,                 1.5711,                 1.2339,                0.61892,                0.56997,                0.58627,                0.23707,                 2.0499,                 1.8006,                 1.3728,               0.008218,               0.008218,               0.008218
                     11,                 1.7264,                 1.5195,                  1.204,                0.78326,                0.58179,                0.67844,                0.29945,                  2.002,                 1.6761,                 1.3603,                0.00802,                0.00802,                0.00802
                     12,                 1.6857,                 1.4064,                 1.2199,                0.77571,                0.56961,                0.64029,                0.23953,                 2.2264,                 1.5433,                 1.4513,               0.007822,               0.007822,               0.007822
